median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units,borough,year,geoid
918.0,32316.0,1709,22,537,0,Bronx,2009,021900
821.0,14300.0,1124,38,610,62,Bronx,2009,022000
911.0,22110.0,9336,123,2827,181,Bronx,2009,022100
821.0,24794.0,9488,50,3415,172,Bronx,2009,022300
955.0,34160.0,2696,882,1185,30,Bronx,2009,022401
1058.0,46023.0,8032,2289,3090,69,Bronx,2009,022402
920.0,29318.0,7771,95,2052,66,Bronx,2009,022500
797.0,30000.0,3326,80,1061,51,Bronx,2009,022701
859.0,53103.0,1529,49,557,120,Bronx,2009,022702
962.0,38000.0,903,33,481,83,Bronx,2009,022703
1019.0,42908.0,5667,1674,2517,321,Bronx,2009,022800
936.0,29441.0,6001,66,2036,203,Bronx,2009,022901
921.0,22791.0,3061,0,1094,148,Bronx,2009,022902
1023.0,44545.0,3265,645,1174,24,Bronx,2009,023000
803.0,28563.0,1175,0,433,42,Bronx,2009,023100
1174.0,47587.0,2838,914,961,104,Bronx,2009,023200
892.0,28309.0,4789,130,1743,140,Bronx,2009,023301
974.0,31902.0,3316,50,1161,136,Bronx,2009,023302
1306.0,42105.0,2744,699,850,18,Bronx,2009,023400
873.0,26653.0,4290,100,1556,84,Bronx,2009,023501
908.0,20095.0,5469,112,1930,136,Bronx,2009,023502
1033.0,40486.0,1682,394,668,32,Bronx,2009,023600
952.0,21871.0,10049,236,2815,79,Bronx,2009,023701
944.0,22917.0,1063,31,381,15,Bronx,2009,023702
913.0,19462.0,7538,110,2708,166,Bronx,2009,023900
1014.0,37432.0,3878,254,1414,113,Bronx,2009,024000
867.0,26658.0,5745,160,1920,146,Bronx,2009,024100
838.0,25976.0,5760,60,2093,159,Bronx,2009,024300
1022.0,66726.0,2287,1268,921,64,Bronx,2009,024400
891.0,27038.0,9021,0,2826,300,Bronx,2009,024500
1036.0,62375.0,2291,1150,865,131,Bronx,2009,024600
978.0,52440.0,2204,8,707,21,Bronx,2009,024700
1098.0,54401.0,3490,1907,1249,25,Bronx,2009,024800
963.0,55638.0,2562,1705,1056,66,Bronx,2009,025000
896.0,26444.0,7396,39,2251,93,Bronx,2009,025100
1010.0,45645.0,2411,1733,983,53,Bronx,2009,025200
885.0,20521.0,6273,40,2078,74,Bronx,2009,025300
1000.0,62455.0,1970,1602,903,0,Bronx,2009,025400
895.0,24526.0,6831,123,2226,168,Bronx,2009,025500
900.0,50833.0,1666,548,669,83,Bronx,2009,025600
991.0,40750.0,1548,0,595,82,Bronx,2009,025700
1284.0,45776.0,562,153,196,30,Bronx,2009,025800
1064.0,56389.0,2054,437,825,67,Bronx,2009,026100
925.0,31497.0,8667,405,3394,165,Bronx,2009,026300
1141.0,58032.0,6358,4872,2117,74,Bronx,2009,026400
913.0,28974.0,7003,336,2164,112,Bronx,2009,026500
1040.0,51994.0,3263,1502,1470,87,Bronx,2009,026601
987.0,39812.0,5013,3062,2587,184,Bronx,2009,026602
952.0,30511.0,11024,455,3925,166,Bronx,2009,026700
912.0,33494.0,3701,101,1610,109,Bronx,2009,026900
404.0,22976.0,1625,10,673,25,Bronx,2009,027101
940.0,38763.0,7438,700,2651,239,Bronx,2009,027300
1223.0,64042.0,8885,7733,3540,416,Bronx,2009,027400
821.0,35633.0,5855,571,1918,30,Bronx,2009,027700
1005.0,48059.0,8134,2350,2988,163,Bronx,2009,027900
930.0,50000.0,4069,1811,2038,70,Bronx,2009,028100
974.0,42813.0,1491,253,636,14,Bronx,2009,028300
1069.0,53420.0,3386,2082,1626,50,Bronx,2009,028500
1054.0,76393.0,1376,738,541,62,Bronx,2009,028600
992.0,60571.0,3324,944,1322,108,Bronx,2009,028700
1164.0,66025.0,3756,2867,1298,17,Bronx,2009,028800
1043.0,43289.0,4435,1277,1832,218,Bronx,2009,028900
1574.0,83136.0,6969,5190,3897,435,Bronx,2009,029300
1216.0,74000.0,4342,2649,2157,231,Bronx,2009,029500
836.0,29068.0,2501,1023,1242,119,Bronx,2009,029600
1151.0,82991.0,3532,2620,1866,408,Bronx,2009,029700
1034.0,49539.0,6132,3590,2750,112,Bronx,2009,030000
912.0,64259.0,1141,861,542,0,Bronx,2009,030100
847.0,52962.0,9361,897,4224,150,Bronx,2009,030200
1446.0,86591.0,9341,7773,4438,348,Bronx,2009,030700
1294.0,90338.0,5202,2860,1301,0,Bronx,2009,031000
1244.0,94500.0,1874,598,648,0,Bronx,2009,031200
1149.0,79010.0,2383,1051,759,50,Bronx,2009,031400
1236.0,69592.0,2359,917,736,12,Bronx,2009,031600
385.0,19839.0,792,574,170,0,Bronx,2009,031700
1464.0,78400.0,2416,854,650,22,Bronx,2009,031800
1282.0,69144.0,1981,1026,729,36,Bronx,2009,032000
1334.0,63250.0,1316,556,466,22,Bronx,2009,032200
1026.0,72762.0,5490,3738,2863,274,Bronx,2009,032300
537.0,26193.0,2978,561,1332,73,Bronx,2009,032400
744.0,36473.0,4286,1231,1554,50,Bronx,2009,032800
1167.0,74488.0,1770,955,667,58,Bronx,2009,032900
926.0,31550.0,5028,1838,2090,0,Bronx,2009,033000
975.0,34123.0,7165,1750,3501,237,Bronx,2009,033200
773.0,28444.0,6090,427,2766,133,Bronx,2009,033600
1068.0,41175.0,3726,123,1461,136,Bronx,2009,033800
1643.0,84524.0,1306,915,475,21,Bronx,2009,033900
1009.0,39474.0,4867,491,1833,91,Bronx,2009,034000
1559.0,76806.0,2708,1734,588,10,Bronx,2009,034100
1272.0,65714.0,2061,281,657,19,Bronx,2009,034200
1170.0,55096.0,1936,1050,657,42,Bronx,2009,034300
929.0,49107.0,1654,187,586,26,Bronx,2009,034400
1158.0,71449.0,3372,1756,1567,204,Bronx,2009,034500
543.0,39135.0,5385,250,1869,111,Bronx,2009,034600
1316.0,67962.0,2211,77,708,33,Bronx,2009,035000
997.0,62703.0,3144,1854,1211,93,Bronx,2009,035100
897.0,59194.0,2203,408,729,22,Bronx,2009,035200
1289.0,80440.0,2172,259,721,77,Bronx,2009,035600
1084.0,65823.0,8041,204,2367,68,Bronx,2009,035800
1044.0,22955.0,1549,23,541,15,Bronx,2009,035900
394.0,15404.0,5352,33,2199,193,Bronx,2009,036100
846.0,19368.0,6903,137,2407,93,Bronx,2009,036300
1162.0,62159.0,3091,37,984,46,Bronx,2009,036400
835.0,32309.0,4307,47,1421,116,Bronx,2009,036501
989.0,29750.0,2118,0,746,93,Bronx,2009,036502
1504.0,80250.0,1211,0,338,16,Bronx,2009,036600
823.0,16016.0,1917,14,663,90,Bronx,2009,036700
1140.0,59688.0,1594,22,641,92,Bronx,2009,036800
922.0,17561.0,2186,39,784,53,Bronx,2009,036901
615.0,32773.0,2247,40,784,44,Bronx,2009,036902
1046.0,67344.0,2405,89,834,47,Bronx,2009,037000
690.0,21964.0,4410,0,1865,115,Bronx,2009,037100
1093.0,45000.0,2118,30,721,23,Bronx,2009,037200
907.0,25477.0,4912,202,1802,209,Bronx,2009,037300
571.0,28715.0,3211,106,1497,122,Bronx,2009,037400
727.0,32917.0,257,0,93,0,Bronx,2009,037501
725.0,20938.0,1614,160,534,20,Bronx,2009,037502
685.0,13818.0,2539,70,642,0,Bronx,2009,037503
971.0,49697.0,2754,289,788,130,Bronx,2009,037600
808.0,28333.0,2781,145,1242,164,Bronx,2009,037700
1017.0,41722.0,2781,133,1096,81,Bronx,2009,037800
939.0,20385.0,6389,0,1728,58,Bronx,2009,037900
925.0,36495.0,3941,240,1636,124,Bronx,2009,038000
913.0,25942.0,6216,63,2138,137,Bronx,2009,038100
1181.0,50853.0,2752,217,881,22,Bronx,2009,038200
873.0,22649.0,11004,176,3512,142,Bronx,2009,038300
848.0,21979.0,4669,124,1560,242,Bronx,2009,038500
967.0,42162.0,7922,34,2698,231,Bronx,2009,038600
949.0,25929.0,3636,516,1315,113,Bronx,2009,038700
1140.0,40776.0,2796,0,871,15,Bronx,2009,038800
882.0,24537.0,4755,1166,1745,161,Bronx,2009,038900
1008.0,31923.0,2826,0,922,106,Bronx,2009,039000
918.0,22217.0,6565,1064,2360,289,Bronx,2009,039100
885.0,51667.0,1799,50,600,12,Bronx,2009,039200
814.0,18859.0,8297,567,3295,136,Bronx,2009,039300
897.0,39842.0,4901,152,1629,30,Bronx,2009,039400
1239.0,46875.0,4157,0,1401,245,Bronx,2009,039600
807.0,14785.0,3637,2078,532,23,Bronx,2009,039700
1015.0,58380.0,3602,0,1109,98,Bronx,2009,039800
909.0,21451.0,4837,22,1736,83,Bronx,2009,039901
927.0,22779.0,5126,149,1713,92,Bronx,2009,039902
967.0,30337.0,5047,473,1380,29,Bronx,2009,040100
966.0,30047.0,7614,172,2913,203,Bronx,2009,040301
876.0,18523.0,3771,50,1423,79,Bronx,2009,040302
1108.0,49861.0,3148,91,1037,73,Bronx,2009,040400
934.0,27946.0,10024,288,3692,353,Bronx,2009,040500
1040.0,31826.0,3486,25,1368,90,Bronx,2009,040600
1028.0,28232.0,3984,239,1283,49,Bronx,2009,040701
920.0,35179.0,6254,490,2480,266,Bronx,2009,040702
957.0,32907.0,4410,45,1574,61,Bronx,2009,040800
904.0,42865.0,3558,444,1452,111,Bronx,2009,040900
984.0,42500.0,2644,617,1202,50,Bronx,2009,041100
995.0,39711.0,8464,1632,3173,186,Bronx,2009,041300
1130.0,49789.0,5120,360,1742,222,Bronx,2009,041400
978.0,33511.0,5465,627,2311,187,Bronx,2009,041500
1101.0,36821.0,3936,231,1312,94,Bronx,2009,041800
