old_tract_id,new_tract_id,area_weight
005_012300,005_012300,0.9993441611069768
005_005400,005_005400,0.9828042854700795
005_005400,005_012300,0.017195714528493635
005_006200,005_006000,0.0010940392375724383
005_006200,005_006400,0.020008295250755984
005_006200,005_006200,0.9783120746158107
005_013100,005_013100,0.9940154138323006
005_013100,005_012500,0.0029898901329555028
005_013100,005_012701,0.002990469039492296
005_012901,005_012901,0.9999651118702266
005_005302,005_024700,0.3559063261158442
005_005302,005_025700,0.3522410588554618
005_005302,005_005300,0.2918260174689335
005_006400,005_006400,0.9914922867652385
005_006400,005_006200,0.007839905820765403
005_013000,005_013000,0.9999999999998007
005_015400,005_015200,1.0
005_008800,005_009000,0.999956190229002
005_036300,005_036501,0.006961283108704986
005_036300,005_036300,0.9930387168902078
005_009900,005_009301,0.9978476316784577
005_009900,005_008900,0.0021236344499862146
005_043100,005_043101,0.5047774159881919
005_043100,005_043102,0.4946409825015608
005_042902,005_042901,0.08891729666760156
005_042902,005_042300,0.015645204722133602
005_042902,005_042902,0.8954374986102648
005_030000,005_028400,0.0011159036502175392
005_030000,005_030000,0.9986920064735667
005_014100,005_014100,0.9993972042112278
005_032300,005_030701,0.0058291065255635394
005_032300,005_032300,0.9935884112398694
005_030100,005_030100,0.9915439649413549
005_030100,005_029302,0.003984138527942511
005_030100,005_029301,0.004471896530702575
005_018700,005_006302,0.8510502736957108
005_018700,005_018900,0.14894787580128574
005_021400,005_007600,0.9999999999986201
005_048400,005_045600,0.002906309237239536
005_048400,005_046209,0.003768270081466723
005_048400,005_048402,0.2716473893358354
005_048400,005_048401,0.7216780313454519
005_045101,005_045101,0.9999999999994348
005_014900,005_014900,0.9999721217967715
005_019700,005_019700,0.9994875638004641
005_038600,005_038600,0.9994179328153465
005_036400,005_036400,0.9999999999968417
005_036700,005_036700,0.9995681425459096
005_036501,005_036501,0.9999998650477416
005_010500,005_009302,0.004826962042334877
005_010500,005_011701,0.07577301529317705
005_010500,005_011702,0.8755923528356262
005_010500,005_000200,0.0019065281867905394
005_010500,005_011502,0.04067510247995034
005_014400,005_014400,0.9999999999996965
005_015700,005_015700,0.9999999999998069
005_036100,005_036100,0.999986594735246
005_034500,005_034500,0.9968617360823143
005_034500,005_033700,0.0025964612205694316
005_017900,005_017901,0.4973435151302496
005_017900,005_017902,0.5026564848692407
005_015600,005_015200,0.8764737038370605
005_015600,005_014400,0.12352127452285329
005_030200,005_027600,0.06073095679755389
005_030200,005_046203,0.004717872934400441
005_030200,005_046205,0.03882657459849208
005_030200,005_030202,0.5172923760186123
005_030200,005_030201,0.37843108003013465
005_046202,005_046208,0.49862341461870724
005_046202,005_046207,0.0031470023610588576
005_046202,005_046203,0.003842548144138832
005_046202,005_046209,0.492771699362518
005_044902,005_044902,0.9999999999989989
005_016700,005_017100,0.01198446036792895
005_016700,005_016700,0.9880155396318401
005_035900,005_035900,0.997565372408828
005_035900,005_036100,0.002281876617192073
005_043200,005_043400,0.9988421681002061
005_043200,005_043600,0.0011469785479928012
005_017500,005_017500,0.9999999999982707
005_038000,005_037800,0.00787783613833483
005_038000,005_038000,0.9921221638612273
005_009400,005_009600,0.8395641512193942
005_009400,005_007800,0.09442665460780833
005_009400,005_009200,0.042334448787793584
005_009400,005_009800,0.023674745385003842
005_021602,005_021602,0.961587714067728
005_021602,005_007200,0.03829254609598252
005_017700,005_017100,0.0013523818150149522
005_017700,005_017701,0.4310327414010973
005_017700,005_017702,0.5676148767814522
005_026400,005_026400,0.9992119668039158
005_020602,005_022200,0.9999930713057733
