geoid,borough,year,median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units
006500,Brooklyn,2009,1355.853625250977,61395.386881815146,15841,9670,7037,683
006501,Bronx,2009,1355.9400887069257,61373.70610713067,2477,1511,1100,107
006502,Bronx,2009,1355.9400887069257,61373.706107130674,3419,2086,1518,147
006600,Bronx,2009,1148.4983201581028,59534.86956521739,13853,7471,6929,617
006700,Manhattan,2009,1344.9788565368626,63554.19565347425,28588,15716,13650,1156
006800,Bronx,2009,1443.4073828470382,61849.73091659298,13519,7314,7651,1025
006900,Brooklyn,2009,1313.8191213494379,60407.73618135865,12805,4676,5469,487
006901,Bronx,2009,1321.1980126900517,60983.63288638812,1757,654,751,66
006902,Bronx,2009,1321.1980126900517,60983.63288638812,2470,919,1056,93
007000,Brooklyn,2009,1404.7784324991721,74219.1422488391,3175,1898,1359,82
007001,Bronx,2009,1406.5543863706446,74369.46357539315,5042,3021,2160,131
007002,Staten Island,2009,1401.3386842259486,74389.35850252975,18057,10893,7711,465
007100,Bronx,2009,1155.0141063956962,57995.420741183494,16723,7867,8358,853
007200,Bronx,2009,1557.8723820672874,65500.295286033834,15015,6955,7686,904
007300,Bronx,2009,1279.8656966983774,65998.66955791831,14296,8530,8474,1051
007400,Staten Island,2009,1108.3459615495658,62831.34352570631,17850,6858,7260,645
007500,Brooklyn,2009,1276.6065087267511,56766.048476824406,22799,12824,10608,809
007600,Brooklyn,2009,1114.6284250843435,51862.244738295085,14622,5322,7028,1011
007700,Bronx,2009,1516.815904547726,84114.33333333333,15965,9889,8585,973
007800,Bronx,2009,1345.6330649500878,55541.9411888868,19164,6531,9585,1260
007900,Bronx,2009,862.456152388346,60516.82349273881,16005,5204,6890,729
008000,Brooklyn,2009,1321.352308646906,73608.5772005544,9361,4724,5434,517
008100,Manhattan,2009,1151.4838681355352,61602.927307851045,3627,2176,2126,291
008200,Brooklyn,2009,1480.6291048059502,77341.51731709129,8529,3201,3932,447
008300,Bronx,2009,858.718220338983,32920.52695791934,13687,2113,5318,432
008400,Bronx,2009,1299.5741087587423,57992.707016940825,8122,1340,2954,389
008500,Bronx,2009,616.7906387535302,23776.609695449974,18929,1329,7045,511
008600,Manhattan,2009,1452.3397809257865,93479.9152371423,9382,5340,4970,819
008601,Queens,2009,1489.531188920855,76802.1082047967,2708,1417,1265,159
008602,Manhattan,2009,1403.8763695128152,72076.38099660103,3577,1848,1584,218
008603,Manhattan,2009,1424.8192747472833,81355.9788777123,2793,1508,1340,202
008700,Bronx,2009,1131.2859160002972,57854.68134895256,15237,4796,7300,539
008800,Brooklyn,2009,1240.0283709900652,68593.04271970878,13230,6475,7291,1058
008900,Bronx,2009,1125.602904416141,67622.36781335555,4004,1957,2202,135
009000,Brooklyn,2009,1411.2462106700136,71118.19603173502,18734,8047,10016,1852
009001,Brooklyn,2009,1627.346264101032,86722.89444334675,2260,1250,1486,308
009002,Brooklyn,2009,1630.9933257908042,86892.45797264542,2260,1251,1488,309
009100,Queens,2009,1464.860595543063,93396.57739763329,3142,2042,1668,202
009200,Bronx,2009,1197.3161361024104,46884.98508093779,10749,2140,3968,400
009201,Bronx,2009,1198.013287548522,46863.56972230517,1205,240,446,45
009202,Bronx,2009,1198.013287548522,46863.56972230517,1206,240,446,45
009300,Manhattan,2009,1279.0,66558.0,9574,6708,5982,599
009301,Manhattan,2009,1043.5096609173554,59639.19208334698,3092,1041,1328,147
009302,Queens,2009,1128.6878254025246,63805.46092282084,12957,7777,6820,824
009400,Bronx,2009,1138.7908622258165,48682.78631355504,4696,1019,1441,69
009401,Bronx,2009,1138.790862225816,48682.78631355503,1094,237,336,16
009402,Bronx,2009,1138.7908622258162,48682.78631355504,1095,238,336,16
009500,Manhattan,2009,1384.155408597071,78456.48134152101,6212,4375,2459,382
009600,Brooklyn,2009,1052.4029667973227,50079.197297022554,13692,2132,4080,259
009601,Staten Island,2009,1109.0,59430.0,3800,3208,1562,97
009602,Staten Island,2009,1122.0,51262.0,3609,3144,1449,57
009700,Manhattan,2009,1062.3703030803536,60250.002147163264,1383,818,686,76
009701,Staten Island,2009,1060.6452594119448,60187.5716050131,2259,1340,1131,125
009702,Manhattan,2009,1124.3863078339816,67386.47694991717,4500,2216,2474,157
009800,Queens,2009,1334.0568950427537,60524.38550189875,21844,6213,9880,1466
009900,Bronx,2009,855.1163101604278,44709.27406417112,1295,168,474,50
009901,Bronx,2009,912.1765426244108,42606.289345796635,1913,222,729,85
009902,Bronx,2009,886.5499448352429,43550.77101380539,1064,130,398,44
009903,Bronx,2009,886.6606750842524,43546.6899925499,2303,281,862,96
010000,Brooklyn,2009,1204.720056447345,46816.833656729585,11338,2266,4331,353
010100,Brooklyn,2009,1138.0607569721114,64351.900398406375,8024,3432,3027,258
010200,Brooklyn,2009,1022.21166455769,44302.39215460715,4115,584,1255,198
010300,Manhattan,2009,1461.0748383122882,62169.23221435171,6009,3989,3324,253
010400,Brooklyn,2009,1074.5950329447542,47781.86457171819,6930,1234,2493,390
010401,Brooklyn,2009,1074.5950329447542,47781.86457171819,1467,261,528,83
010402,Brooklyn,2009,1074.5950329447542,47781.86457171819,1468,261,528,83
010500,Queens,2009,1176.6889323864818,36425.13180850268,3900,1446,1421,93
010600,Brooklyn,2009,1036.3644622093022,37925.38771802325,4409,287,1188,84
010601,Manhattan,2009,1737.75180380476,103355.21919599039,10392,7590,6426,998
010602,Brooklyn,2009,1670.837007779349,84527.89956591389,7749,4444,3643,320
010701,Brooklyn,2009,1583.1807465618863,91641.64215548696,20,13,10,1
010800,Brooklyn,2009,1427.9998174182947,81232.01369362789,5265,2654,2774,561
010801,Brooklyn,2009,1427.9998174182947,81232.01369362789,4894,2467,2578,522
010802,Brooklyn,2009,1427.9998174182947,81232.0136936279,4446,2241,2342,474
010803,Brooklyn,2009,1427.9998174182947,81232.01369362789,1819,917,958,194
011000,Bronx,2009,1441.4026561772862,69607.6229787264,10033,4746,5354,859
011100,Manhattan,2009,1295.5126078862752,67473.52157725503,5909,3567,3126,382
011200,Brooklyn,2009,977.2607594936708,31538.978941311856,8684,2775,2784,128
011201,Staten Island,2009,1214.58042726328,61889.80876372496,7437,5544,3186,314
011202,Staten Island,2009,1155.0,75329.0,25,20,9,0
011203,Manhattan,2009,1826.0820017265266,112972.25814649212,1583,1395,1350,501
011204,Staten Island,2009,1155.0,75329.0,561,448,204,9
011300,Manhattan,2009,1179.4855923159018,54824.058875844894,5622,3654,2205,131
011400,Brooklyn,2009,924.2962962962963,38983.378540305006,5463,2875,1764,177
011401,Manhattan,2009,835.8620612564274,63702.515984797676,4473,3384,2716,599
011402,Manhattan,2009,1531.2734957732469,90876.7976131278,6033,4915,3422,651
011500,Manhattan,2009,1416.8977545544412,66152.00579014263,6175,3168,2585,217
011502,Bronx,2009,883.3279425636564,23468.052751763018,4726,103,1591,136
011600,Manhattan,2009,1082.1070606822263,49416.38921230553,10628,4522,4938,710
011700,Brooklyn,2009,1403.3120893146174,63331.779151106864,8745,5292,4555,321
011701,Bronx,2009,966.8781479757981,18273.43608130669,1663,247,687,28
011702,Queens,2009,1175.7171741166553,36478.841349754024,6017,2234,2194,145
011800,Bronx,2009,1585.595375834352,88295.8311323645,18910,12979,9797,1581
011900,Bronx,2009,877.7747355655493,24053.545106469857,8093,2084,3913,237
011901,Bronx,2009,1148.965401241204,53313.59656780153,3917,1335,1746,163
011902,Bronx,2009,932.6426579925651,39310.92673482032,1855,681,770,41
012000,Brooklyn,2009,1621.3891661125642,105269.97896139741,8080,3777,3617,556
012100,Brooklyn,2009,1253.2343292997652,61294.27349888169,14861,9966,8103,555
012101,Bronx,2009,1006.005540236275,45065.34849745222,4056,864,1734,171
012102,Bronx,2009,949.2490384807244,36454.027071044075,2873,864,1193,60
012200,Queens,2009,1322.0514584556308,71785.81825223054,15346,7505,7022,1466
012300,Bronx,2009,1149.806793169715,53035.115502444794,2519,1190,1134,84
012301,Bronx,2009,932.6426579925651,39310.92673482032,1659,609,688,36
012400,Brooklyn,2009,1559.7685628175564,74259.43348583746,11080,6986,5905,694
012500,Manhattan,2009,1337.805551232308,63225.534096055664,11239,4292,5272,567
012600,Brooklyn,2009,1518.689471489862,70432.36900265452,4945,3071,2605,343
012601,Manhattan,2009,1614.6421871287641,83145.71392063562,9976,6613,5601,652
012602,Manhattan,2009,1626.9317598806765,85499.51647703553,8994,6560,5417,671
012700,Brooklyn,2009,1044.2697555168943,48909.00714220309,10921,5012,5987,574
012701,Bronx,2009,580.8721454324834,16054.241495517495,2440,238,866,37
012800,Manhattan,2009,1501.7678550555231,131741.43272939802,8536,6638,4839,816
012801,Brooklyn,2009,1089.0,52500.0,2058,785,750,24
012804,Staten Island,2009,1591.3231155512428,73884.46828707076,4682,3593,1711,142
012805,Staten Island,2009,991.0,62974.0,601,505,235,17
012806,Staten Island,2009,991.0,62974.0,847,711,331,24
012901,Brooklyn,2009,1325.665603939185,55136.34953911792,8736,2813,4191,506
012902,Brooklyn,2009,1657.2595615386676,71739.70534378914,5066,2580,2645,323
013000,Bronx,2009,1327.9367994100294,119186.84697640117,13498,9319,6009,871
013100,Bronx,2009,1301.9541434091884,66561.16934306569,11616,4637,5722,725
013200,Brooklyn,2009,1377.8352605385955,68317.14146925081,18010,11751,9603,1002
013201,Brooklyn,2009,1163.346941259053,66286.24735325774,2929,2291,1199,61
013202,Bronx,2009,1377.238578185187,68284.10098005753,661,431,352,37
013203,Bronx,2009,1147.481147128618,82479.97215829234,5793,4968,2372,155
013204,Staten Island,2009,1167.0,69722.0,5129,4502,2014,82
013300,Bronx,2009,1136.4273399014778,61384.2263210927,17863,7535,7923,750
013301,Staten Island,2009,352.0,9839.0,1458,253,644,34
013302,Staten Island,2009,1592.705578404234,53800.43087704127,3357,626,1063,148
013400,Brooklyn,2009,1396.031062029871,77176.53520060709,25375,19365,13908,1496
013500,Bronx,2009,1056.1951002531991,48845.97940190242,8665,3279,3982,262
013501,Brooklyn,2009,1049.6675604776178,47888.05223732046,2980,1064,1368,96
013502,Brooklyn,2009,1048.029363021344,47707.32701096381,3471,1227,1594,113
013600,Queens,2009,1601.4730773310864,80785.00018277059,13806,11120,7909,738
013601,Brooklyn,2009,1522.6415422542045,71971.2785466971,2143,1505,1084,101
013602,Brooklyn,2009,1601.8247269785627,80720.25931418812,2136,1721,1224,114
013603,Brooklyn,2009,1601.8247269785627,80720.25931418812,2038,1642,1168,109
013604,Brooklyn,2009,1601.8247269785625,80720.25931418811,2715,2187,1556,145
013700,Bronx,2009,1395.7227646606311,70175.76306290313,12088,6468,7134,1501
